Utterence name (file name),Speaker name,Model,Language,Gender,Age,Noise Type,Source link,label,utt,path
TTS_Kim_joo_ha_1.wav,Anchor Kimjooha,,Korean,Female,Adult,Music,https://www.youtube.com/watch?v=nKESsnHxnp8,spoof,TTS_Kim_joo_ha_1,./2024_FakeSample/TTS_Sample/TTS_Kim_joo_ha_1.wav
TTS_Kim_joo_ha_2.wav,Anchor Kimjooha,,Korean,Female,Adult,Music,https://www.youtube.com/watch?v=nKESsnHxnp8,spoof,TTS_Kim_joo_ha_2,./2024_FakeSample/TTS_Sample/TTS_Kim_joo_ha_2.wav
TTS_Kim_joo_ha_3.wav,Anchor Kimjooha,,Korean,Female,Adult,Music,https://www.youtube.com/watch?v=nKESsnHxnp8,spoof,TTS_Kim_joo_ha_3,./2024_FakeSample/TTS_Sample/TTS_Kim_joo_ha_3.wav
TTS_Kim_joo_ha_4.wav,Anchor Kimjooha,,Korean,Female,Adult,Music,https://www.youtube.com/watch?v=nKESsnHxnp8,spoof,TTS_Kim_joo_ha_4,./2024_FakeSample/TTS_Sample/TTS_Kim_joo_ha_4.wav
TTS_Kim_joo_ha_5.wav,Anchor Kimjooha,,Korean,Female,Adult,Music,https://www.youtube.com/watch?v=nKESsnHxnp8,spoof,TTS_Kim_joo_ha_5,./2024_FakeSample/TTS_Sample/TTS_Kim_joo_ha_5.wav
TTS_Kim_joo_ha_6.wav,Anchor Kimjooha,,Korean,Female,Adult,Music,https://www.youtube.com/watch?v=nKESsnHxnp8,spoof,TTS_Kim_joo_ha_6,./2024_FakeSample/TTS_Sample/TTS_Kim_joo_ha_6.wav
TTS_Dave_1.wav,Dave,,English,Male,Adult,,https://elevenlabs.io/text-to-speech,spoof,TTS_Dave_1,./2024_FakeSample/TTS_Sample/TTS_Dave_1.wav
TTS_Dave_2.wav,Dave,,English,Male,Adult,,https://elevenlabs.io/text-to-speech,spoof,TTS_Dave_2,./2024_FakeSample/TTS_Sample/TTS_Dave_2.wav
TTS_Dave_3.wav,Dave,,English,Male,Adult,,https://elevenlabs.io/text-to-speech,spoof,TTS_Dave_3,./2024_FakeSample/TTS_Sample/TTS_Dave_3.wav
TTS_Dave_4.wav,Dave,,English,Male,Adult,,https://elevenlabs.io/text-to-speech,spoof,TTS_Dave_4,./2024_FakeSample/TTS_Sample/TTS_Dave_4.wav
TTS_Dave_5.wav,Dave,,English,Male,Adult,,https://elevenlabs.io/text-to-speech,spoof,TTS_Dave_5,./2024_FakeSample/TTS_Sample/TTS_Dave_5.wav
TTS_Gigi_1.wav,Gigi,,Japanese,Male,Child,,https://elevenlabs.io/,spoof,TTS_Gigi_1,./2024_FakeSample/TTS_Sample/TTS_Gigi_1.wav
TTS_Gigi_2.wav,Gigi,,Japanese,Male,Child,,https://elevenlabs.io/,spoof,TTS_Gigi_2,./2024_FakeSample/TTS_Sample/TTS_Gigi_2.wav
TTS_Gigi_3.wav,Gigi,,Japanese,Male,Child,,https://elevenlabs.io/,spoof,TTS_Gigi_3,./2024_FakeSample/TTS_Sample/TTS_Gigi_3.wav
TTS_Gigi_4.wav,Gigi,,Japanese,Male,Child,,https://elevenlabs.io/,spoof,TTS_Gigi_4,./2024_FakeSample/TTS_Sample/TTS_Gigi_4.wav
TTS_Gigi_5.wav,Gigi,,Japanese,Male,Child,,https://elevenlabs.io/,spoof,TTS_Gigi_5,./2024_FakeSample/TTS_Sample/TTS_Gigi_5.wav
TTS_Gigi_6.wav,Gigi,,Japanese,Male,Child,,https://elevenlabs.io/,spoof,TTS_Gigi_6,./2024_FakeSample/TTS_Sample/TTS_Gigi_6.wav
TTS_youtuber_nochamchi_1.wav,youtuber_nochamchi,,Korean,Male,Child,,https://www.youtube.com/shorts/hv86ZRvzeMw,spoof,TTS_youtuber_nochamchi_1,./2024_FakeSample/TTS_Sample/TTS_youtuber_nochamchi_1.wav
TTS_youtuber_nochamchi_2.wav,youtuber_nochamchi,,Korean,Male,Child,,https://www.youtube.com/shorts/hv86ZRvzeMw,spoof,TTS_youtuber_nochamchi_2,./2024_FakeSample/TTS_Sample/TTS_youtuber_nochamchi_2.wav
TTS_youtuber_nochamchi_3.wav,youtuber_nochamchi,,Korean,Male,Child,,https://www.youtube.com/shorts/hv86ZRvzeMw,spoof,TTS_youtuber_nochamchi_3,./2024_FakeSample/TTS_Sample/TTS_youtuber_nochamchi_3.wav
TTS_youtuber_nochamchi_4.wav,youtuber_nochamchi,,Korean,Male,Child,,https://www.youtube.com/shorts/hv86ZRvzeMw,spoof,TTS_youtuber_nochamchi_4,./2024_FakeSample/TTS_Sample/TTS_youtuber_nochamchi_4.wav
TTS_youtuber_nochamchi_5.wav,youtuber_nochamchi,,Korean,Male,Child,,https://www.youtube.com/shorts/hv86ZRvzeMw,spoof,TTS_youtuber_nochamchi_5,./2024_FakeSample/TTS_Sample/TTS_youtuber_nochamchi_5.wav
TTS_program_1.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_1,./2024_FakeSample/TTS_Sample/TTS_program_1.wav
TTS_program_2.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_2,./2024_FakeSample/TTS_Sample/TTS_program_2.wav
TTS_program_3.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_3,./2024_FakeSample/TTS_Sample/TTS_program_3.wav
TTS_program_4.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_4,./2024_FakeSample/TTS_Sample/TTS_program_4.wav
TTS_program_5.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_5,./2024_FakeSample/TTS_Sample/TTS_program_5.wav
TTS_program_6.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_6,./2024_FakeSample/TTS_Sample/TTS_program_6.wav
TTS_program_7.wav,TTS_program,,Italian,Female,Adult,,https://studio.neiro.ai/text?voice=17,spoof,TTS_program_7,./2024_FakeSample/TTS_Sample/TTS_program_7.wav
TTS_footballmagazine_1.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_1,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_1.wav
TTS_footballmagazine_2.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_2,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_2.wav
TTS_footballmagazine_3.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_3,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_3.wav
TTS_footballmagazine_4.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_4,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_4.wav
TTS_footballmagazine_5.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_5,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_5.wav
TTS_footballmagazine_6.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_6,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_6.wav
TTS_footballmagazine_7.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_7,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_7.wav
TTS_footballmagazine_8.wav,TTS_footballmagazine,,Korean,Male,Adult,,https://www.youtube.com/watch?v=How5d80IAiE,spoof,TTS_footballmagazine_8,./2024_FakeSample/TTS_Sample/TTS_footballmagazine_8.wav
TTS_penelope_1.wav,TTS_peleope,,English,Female,Adult,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_penelope_1,./2024_FakeSample/TTS_Sample/TTS_penelope_1.wav
TTS_penelope_2.wav,TTS_peleope,,English,Female,Adult,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_penelope_2,./2024_FakeSample/TTS_Sample/TTS_penelope_2.wav
TTS_penelope_3.wav,TTS_peleope,,English,Female,Adult,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_penelope_3,./2024_FakeSample/TTS_Sample/TTS_penelope_3.wav
TTS_penelope_4.wav,TTS_peleope,,English,Female,Adult,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_penelope_4,./2024_FakeSample/TTS_Sample/TTS_penelope_4.wav
TTS_penelope_5.wav,TTS_peleope,,English,Female,Adult,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_penelope_5,./2024_FakeSample/TTS_Sample/TTS_penelope_5.wav
TTS_jessie_1.wav,TTS_jessie,,English,Female,Teenager,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_jessie_1,./2024_FakeSample/TTS_Sample/TTS_jessie_1.wav
TTS_jessie_2.wav,TTS_jessie,,English,Female,Teenager,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_jessie_2,./2024_FakeSample/TTS_Sample/TTS_jessie_2.wav
TTS_jessie_3.wav,TTS_jessie,,English,Female,Teenager,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_jessie_3,./2024_FakeSample/TTS_Sample/TTS_jessie_3.wav
TTS_jessie_4.wav,TTS_jessie,,English,Female,Teenager,,https://www.facebook.com/100078124676648/videos/364291338955992/,spoof,TTS_jessie_4,./2024_FakeSample/TTS_Sample/TTS_jessie_4.wav
