,file_path,subset,cat,utt,Utterence name (file name),Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Source link,path,group,Model,label
0,bonafide/LA_T_3424442.wav,train,-,LA_T_3424442,-,-,-,-,-,-,-,-,-,-,LA2019,-,bonafide
1,vocoded/hifigan_LA_T_3424442.wav,train,-,hifigan_LA_T_3424442,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
2,vocoded/waveglow_LA_T_3424442.wav,train,-,waveglow_LA_T_3424442,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
3,vocoded/hn-sinc-nsf-hifi_LA_T_3424442.wav,train,-,hn-sinc-nsf-hifi_LA_T_3424442,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
4,bonafide/LA_T_3976536.wav,train,-,LA_T_3976536,-,-,-,-,-,-,-,-,-,-,LA2019,-,bonafide
5,vocoded/hifigan_LA_T_3976536.wav,train,-,hifigan_LA_T_3976536,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
6,vocoded/waveglow_LA_T_3976536.wav,train,-,waveglow_LA_T_3976536,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
7,vocoded/hn-sinc-nsf-hifi_LA_T_3976536.wav,train,-,hn-sinc-nsf-hifi_LA_T_3976536,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
8,bonafide/LA_T_8971944.wav,train,-,LA_T_8971944,-,-,-,-,-,-,-,-,-,-,LA2019,-,bonafide
9,vocoded/hifigan_LA_T_8971944.wav,train,-,hifigan_LA_T_8971944,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
10,vocoded/waveglow_LA_T_8971944.wav,train,-,waveglow_LA_T_8971944,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
11,vocoded/hn-sinc-nsf-hifi_LA_T_8971944.wav,train,-,hn-sinc-nsf-hifi_LA_T_8971944,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
12,bonafide/LA_T_5187822.wav,train,-,LA_T_5187822,-,-,-,-,-,-,-,-,-,-,LA2019,-,bonafide
13,vocoded/hifigan_LA_T_5187822.wav,train,-,hifigan_LA_T_5187822,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
14,vocoded/waveglow_LA_T_5187822.wav,train,-,waveglow_LA_T_5187822,-,-,-,-,-,-,-,-,-,-,LA2019,-,spoof
